keywords,sentence
worship temple structure place include,mughal structure which includes a park and a temple or place of worship
building concrete reinforce,the building is a modern structure of reinforced concrete supported by pillars
fund shore company,venture funded company along the shores of this private island .
look coast city,early morning looking down to a city on the coast
pedestrian vehicle intersection,This intersection has more pedestrians than vehicles near it.
monarch depict statue,monarch depicted as noble title in the bronze statue
park airport day,Five airplanes parked at an airport in the middle of the day.
train front track,A train with a yellow front next to an empty track.
learn part history,part of the history we learned .
litter beach tree,remains of dead trees littering the beach below australian rules footballer .
water city surround,senior people using wheelchair in a city fully surrounded by water
bridge city centre,bridge between the town centre and the medieval city
receive flower monarch,monarch receives flowers from members of the public .
soldier provide security exit,a soldier takes a knee and provides security after exiting armed force
float mist range,mist floats over mountain range .
census drive place designate,the drive to us census designated place through the mountains is beautiful
laptop chair room desk,A class room with numerous laptops at desks with chairs.
pond water wade,you must wade this pond through thigh deep water
work room paint,Two people work together to paint a room with red paint.
ceremony listen graduate,graduates listen intently during the ceremony .
horse hay bail,Horse pulling wagon with male bailing hay while three boys look on'
card shuffle game,The man shuffled a deck of cards so the group could play a card game.
tree attraction grow,tourist attraction grows more than just palm trees .
satellite rocket launch,a rocket launches the satellite .
dry blow hair brush,"The hair dresser had a special today only $25 for a shampoo, blow-dry, and brush out."
star planet space,stars of a planet and galaxy in a free space
warm player training,football player warms up during training
carrot box fruit,Some carrots inside a box full of fruit
lamp couch pillow,A white couch topped with pillows next to a lamp.
fly flower garden,bee flying on the flowers in garden
shore walk fisherman,a fisherman walks away from his village on the shore of a lake .
trim color match,what color in paint would match for trim
athlete event guest,guests at the event included hockey great and olympic athlete and her brother
beetle close flower,close up of a beetle in a flower
leaf underside caterpillar,turning the leaf over revealed this tiny caterpillar on the underside .
jean pair celebrity,celebrity chose a pair of skinny jeans to team with her top .
bow take finish,The lady finishes and takes a bow.
row cottage cobble,a row of sleepy cottages on a cobbled street
construction worker venue,workers finish construction outside concert performance venue late last month .
cub bear salmon,female grizzly bear and her cub eating a salmon
watch frisbee demonstrate,A women is watching others demonstrate a frisbee.
sheep mountain flock,flock of sheeps in the mountain near to the lake
peer fence tag cow,"Two young, tagged cows peering through the slats of a fence"
elephant stand yard,THERE ARE ELEPHANTS THAT ARE STANDING IN THE YARD
smell daughter flower,mother and daughter smelling flowers on a terrace .
meat pie sauce,"a pizza pie with sauce, meats and cheese"
ambulance speed centre,ambulance speeding into a town centre
sunrise mountain surround,sunrise over the mountains surrounding
ferry pier dock,local ferry docked at pier
farm grow cabbage,cabbage and kale growing in a field in an organic farm
animal walk giraffe area,A giraffe walks along an open area inhabited by three other animals.
