keywords,sentence
mountain ski skier,Skier skis down the mountain
mountain ski skier,A skier is skiing down a mountain.
mountain ski skier,Three skiers are skiing on a snowy mountain.
dog tail wag,The dog is wagging his tail.
dog tail wag,A dog wags his tail at the boy.
dog tail wag,a dog wags its tail with its heart
canoe lake paddle,woman paddling canoe on a lake
canoe lake paddle,paddle an open canoe along lake .
canoe lake paddle,a man paddles his canoe on the lake.
pull station train,a train pulls into station
pull station train,train pulling in to station .
pull station train,the train pulling into station
eat hay horse,A horse is eating hay.
eat hay horse,The horses are eating hay.
eat hay horse,A horse eats hay in the barn
fan match watch,watch a match with fans
fan match watch,the fans watch the match
fan match watch,a fan watches during the match
lake mountain surround,a lake surrounded by mountains .
lake mountain surround,lake from the surrounding mountains
lake mountain surround,one of the mountain ranges that surrounds lake .
dog lay rug,A dog laying on a rug.
dog lay rug,The dogs laid down on the rug
dog lay rug,Brown dog chews on bone while laying on the rug.
hang painting wall,hanging a painting on a wall at home
hang painting wall,paintings of horses hang on the walls .
hang painting wall,There is only one painting hanging on the wall.
carry food tray,boy carries a tray of food .
carry food tray,people carrying food on trays
carry food tray,The woman is carrying two trays of food.
match stadium watch,soccer fans watches a league match in a stadium
match stadium watch,A stadium full of people watching a tennis match.
match stadium watch,supporters watch the match from a hill outside the stadium
cat lick paw,A cat licks his paws.
cat lick paw,A cat is licking its paw
cat lick paw,the cat licks the pad of his front paw
room tile wall,a bath room with a toilet and tiled walls
room tile wall,Three men tile a wall in a large empty room
room tile wall,A wall mounted urinal in a checker tiled rest room.
canoe lake shore,canoe on a shore of lake .
canoe lake shore,canoe on shore with rainbow across the lake
canoe lake shore,Several canoes parked in the grass on the shore of a lake
mountain skier way,A skier on his way to the mountain.
mountain skier way,skiers make their way down the mountain
mountain skier way,A skier making her way down a snowy mountain.
boat drive lake,driving boat on a lake
boat drive lake,a boat is being driven through a lake
boat drive lake,A fisherman drives his boat on the lake
eat grass horse,A horse is eating grass.
eat grass horse,The horses are eating grass.
eat grass horse,The old horse ate grass all day.
come track train,train coming down the track
come track train,A train is coming along on a track.
come track train,a long train in coming down some tracks
move track train,train moving on the tracks
move track train,A red train is moving down a track
move track train,A train moves slowly on some empty tracks
leave station train,a train leaves the station
leave station train,a train leaving station bound
leave station train,a fast train about to leave station
passenger station train,train and passengers at the station
passenger station train,passengers leaving a train on a station
passenger station train,a train at station with no passengers joining
arrive station train,a train arrives at station
arrive station train,train arriving at the station
arrive station train,subway train arrives in the station
sit station train,a train sits at the station
sit station train,A train that is sitting in a station.
sit station train,A red train sitting at an empty station.
horse pull wagon,a tea of horses pull a wagon
horse pull wagon,horse pulling man on wagon .
horse pull wagon,A wagon is being pulled by horses.
station stop train,train is stopped at a station
station stop train,trains stopping at the station
station stop train,The empty train is stopped in the station.
plane runway sit,A plane sits on the runway
plane runway sit,An old plane is sitting on a runway.
plane runway sit,Two planes are sitting out on the runway.
cloud fly plane,plane flying into the clouds
cloud fly plane,flying plane against a cloud .
cloud fly plane,A plane flies over head in the clouds.
dog herd sheep,A dog herds a sheep.
dog herd sheep,A dog is herding sheep.
dog herd sheep,The dogs are herding sheep.
beach boat sit,boats sitting on the beach
beach boat sit,a boat is sitting up on a beach
beach boat sit,Pelicans sit on a blue boat at the beach.
come station train,a train coming into station
come station train,tube train comes to station .
come station train,train coming in to the station
cloud float sky,clouds floating in the sky
cloud float sky,clouds float through a blue sky
cloud float sky,shot of clouds that float across the sky
eat elephant grass,elephants pulling grass to eat .
eat elephant grass,An elephant is eating grass in Kenya.
eat elephant grass,a bunch of elephants are eating grass
family spend time,family spend time in the park
family spend time,spending time with the family
family spend time,family spend time at a holidays
bathroom tile wall,black walls and tiles in the bathroom
bathroom tile wall,A bathroom has green tile on the walls.
bathroom tile wall,A bathroom with blue walls and pink tile.
light shine window,A red light shines in his window.
light shine window,Light from a window shining onto a bed.
light shine window,A beam of light shines through the window.
come light window,light coming through the windows
come light window,Some light comes in from the windows.
come light window,Very faint light comes in at a side window.
enter station train,a subway train enters a station
enter station train,The train is entering the station.
enter station train,people enter a tube train at station .
building cloud sky,building and clouds moving in the blue sky
building cloud sky,white clouds in a blue sky reflecting off buildings
building cloud sky,building and clouds against blue sky seen from a city
feed giraffe zoo,feeding giraffe at the zoo
feed giraffe zoo,A boy feeding a giraffe at a zoo
feed giraffe zoo,A woman feeds two giraffes at the zoo.
cat grass lie,cat lay on the grass
cat grass lie,cat lying in the grass
cat grass lie,cat lying on grass in a public park
beach spend time,tourists spend time on a beach
beach spend time,people spend time at the beach
beach spend time,spending some time on the beach
cob corn eat,cat eating corn on the cob
cob corn eat,child eating a cob of corn .
cob corn eat,A boy is trying to eat corn on the cob.
eat hay sheep,sheeps eat hay on the farm .
eat hay sheep,several sheep eating hay in a barn
eat hay sheep,sheep in a pen with some hay to eat
computer student work,a student works on a computer
computer student work,student working at a computer
computer student work,students working on the computer .
airport luggage wait,People wait for their luggage at an airport.
airport luggage wait,Man waiting next to his luggage at an airport.
airport luggage wait,Several men waiting on their luggage at the airport.
bridge pass ship,the ship passes under the bridge
bridge pass ship,with cargo ship passing under bridge
bridge pass ship,A bridge rises to let two ships pass.
bouquet bride flower,a bride with a bouquet of flowers
bouquet bride flower,the bride chose glorious flowers for the bouquets
bouquet bride flower,a bouquet of yellow and orange flowers for the bride .
cake couple stand,the couple stands by the cake
cake couple stand,The couple is standing next to a cake.
cake couple stand,A couple stands behind their wedding cake.
cat stare window,cat staring at the window
cat stare window,A cat staring out a window.
cat stare window,The cat stares out of a four paned window.
hospital nurse patient,nurse with a patient in the hospital
hospital nurse patient,nurse visiting her patient at the hospital
hospital nurse patient,nurses take care of a patient at a hospital .
blanket dog lie,pug dog lying under a blanket
blanket dog lie,A man lies on a blanket with his dog.
blanket dog lie,The dog and her puppies lay on a blanket.
farmer field plow,A farmer plows his field.
farmer field plow,The farmer is plowing his field.
farmer field plow,A couple of farmers plowing a field
blanket cat lie,cat lying on a blanket
blanket cat lie,Two cats lay together on a blanket.
blanket cat lie,cat lying in a blanket in the sunlight
painting room wall,living room with painting on the wall
painting room wall,A room that has a lot of paintings on the wall.
painting room wall,there were numerous paintings on the walls in this room .
head skier slope,The skier is headed down a slope.
head skier slope,A group of skiers heading down the slopes
head skier slope,Skiers are headed down a small slope by their cabin.
daughter mother smile,mother and daughter smiling in the winter
daughter mother smile,mother and daughter embrace and smile on a beach
daughter mother smile,A mother and daughter are smiling close together.
family friend gather,gather your friends and family .
family friend gather,friend and family gathered round the font
family friend gather,friends and family gather often for a buffet .
horse plow pull,A horse is pulling a plow.
horse plow pull,The horses are pulling the plow.
horse plow pull,women guide a plow pulled by draft horses
meal share table,people sharing a meal at a table
meal share table,a large dining table for guests to share meals
meal share table,The woman and children share a meal at the table.
building construction crane,cranes and buildings under construction
building construction crane,large crane over a building under construction
building construction crane,construction the buildings with the help of cranes
bow ribbon tie,gold ribbon tied in a bow
bow ribbon tie,tie a basic bow with ribbon
bow ribbon tie,white gift box with red ribbon tied in a bow
family park picnic,family on the picnic in park
family park picnic,A family has a picnic at the park.
family park picnic,young family having picnic in a park
reflect sunlight water,sunlight reflected in the water
reflect sunlight water,sunlight reflecting off the water
reflect sunlight water,rays of sunlight reflect off chilly waters
passenger sit train,passengers sitting in a train
passenger sit train,passengers sit aboard a train at the station .
passenger sit train,A cable train with passengers sit on it tracks.
clock room wall,A small clock on a wall in a room.
clock room wall,A clock rests along the wall of a room.
clock room wall,There are two clocks on the wall in the room.
ceiling room wall,damp on walls and ceiling of a room
ceiling room wall,walls add refinement to the room with slanted ceiling
bone chew dog,a dog chews a bone
bone chew dog,The dog is chewing a bone.
bone chew dog,Dogs lay down and chew bones
airport plane wait,planes waiting at an airport
airport plane wait,a plane waits to depart from airport
airport plane wait,plane waiting on the apron of airport
skier slope way,A skier navigating his way down a slope.
skier slope way,Skiers are making their way down a slope.
skier slope way,a skier makes his way down the slopes on tuesday .
descend skier slope,The skier descended down the slope.
descend skier slope,A skier slowly descending the slope.
descend skier slope,A skier bends his knees as he descends a slope.
bowl salad vegetable,fresh salad with vegetables in a bowl
bowl salad vegetable,A bowl full of salad and different vegetables
bowl salad vegetable,"A bowl of soup, bagel with hummus and fresh vegetable salad"
bed pillow sleep,kitten sleeping on a pillow in bed
bed pillow sleep,man in bed trying to sleep with a pillow
bed pillow sleep,a small baby sleeping on the bed with pillows
herd pasture sheep,herd of sheep on a pasture .
herd pasture sheep,herd of sheep in the pasture
herd pasture sheep,A herd of sheep grazing in an open pasture.
beach collect shell,A man is collecting shells on the beach.
beach collect shell,some sea shells collected along beaches .
beach collect shell,another great idea for the shells we collect at the beach
airport board plane,travelers board a plane at the airport
airport board plane,Plane being boarded by people in an airport
airport board plane,Plane boarding passengers while at a fancy airport
flight passenger wait,passengers wait for their flights
flight passenger wait,passengers wait to get on a flight
flight passenger wait,passengers waiting for flight at the terminal .
float surface water,leaves floating on the surface of still water
float surface water,He dives into the water and floats to the surface.
float surface water,a man floats at the surface with his face in the water .
bench shade tree,bench in the shade of an oak tree
bench shade tree,two benches near a tree under the shade
bench shade tree,A bench positioned among the tall trees for shade
horse post tie,a grey horse tied to a post
horse post tie,Two brown horses tied up at a post.
horse post tie,The horse is tied up to the post outside.
feed park pigeon,A boy feeding pigeons at a park.
feed park pigeon,A woman feeds pigeons in the park.
