class,word
0,Whistle
1,Radius
2,Friday
3,Jeep
4,Stingy
5,Sari
6,Reptile
7,Summer
8,Dhoti
9,Chemistry
10,Soldier
11,Cold (Weather)
12,Attack
13,10/Ten
14,Bucket
15,Surat
16,Language
17,Find
18,Climb Up
19,Rush
20,Fat
21,Today
22,Sofa
23,February
24,Drawing [VEB]
25,Special
26,Fear
27,Market
28,Thunder
29,Schedule
30,Jaundice
31,Wood
32,Health
33,Costly
34,Purple
35,Patience
36,Stomach
37,You (Plural)
38,Fishing Net
39,Pink
40,Study [VEB]
41,Bribe [VEB]
42,Pepper
43,Many
44,Body
45,Bogie
46,App
47,Desert
48,Payment
49,Germany
50,To
51,Left (Side)/Left (Hand)
52,Shiva
53,Transparent
54,Loud (Noise Sound)
55,Matching
56,Hate
57,Faint/Pass Out/Lose Consciousness
58,Director (Movie)
59,Goal
60,Story
61,Report [VEB]
62,National
63,Telephone
64,Advertisement
65,Early
66,Engagement
67,Us
68,On
69,Silver
70,Mysore
71,Salt
72,More
73,Area
74,India
75,Agra
76,Green
77,Laddu
78,Inaugurate
79,Wet
80,Kind
81,Remove
82,River
83,Leader
84,Camera
85,Spend
86,Shock
87,Ooty
88,Pure
89,Pleasant
90,Grass
91,Proof
92,Bus
93,Black Board
94,Torch
95,Ambulance
96,Year
97,Save
98,Put
99,Hardwork
100,Alive
101,Tomorrow
102,Carpenter
103,Prove
104,Insult [VEB]
105,Man
106,Yes
107,Reach
108,Nice
109,Aim
110,List
111,Harvest
112,Soap
113,Leave
114,Powder (Cosmetics)
115,Equal
116,Measure
117,Snake
118,Bedroom
119,Experienced
120,Must
121,Why
122,Lamp
123,Aluminium
124,Throat
125,Voter Card
126,Sister-In-Law
127,Confirm
128,Heart
129,Lose [VEB]
130,Beat
131,Clap
132,Guest
133,P
134,40/Forty
135,Serve
136,Ignore
137,Exploit
138,Drama
139,100Th/Hundredth
140,Volcano
141,Brinjal (Aubergine)
142,Wrong
143,Skill
144,Guava
145,Bitter [ADE]
146,All
147,Hair
148,Sit [VEB]/Chair
149,Curds
150,Tailor
151,Aids
152,Lake
153,Computer
154,Tear
155,Follow
156,Jew
157,God
158,Preposition
159,Shine [VEB]
160,Idiom
161,Stir
162,17/Seventeen
163,Axe
164,Borrow
165,Feel
166,Resign
167,Rough (Behaviour)
168,Submit
169,Sell [VEB]
170,Tall
171,Enjoy [VEB]
172,Smart
173,Here
174,Understand [VEB]
175,Economics
176,Stethoscope
177,Fly [VEB]
178,Harbour
179,Tease
180,Hold
181,14/Fourteen
182,Hotel
183,1/One
184,Hard
185,Hurt
186,Chew [VEB]
187,Wear
188,Paternal Uncle
189,Clock
190,Bus Stand
191,Tonic
192,Pig
193,Word Class
194,Four Times
195,Rocket
196,Mind
197,Court
198,Ribbon
199,Groundnut
200,Disease
201,Taluka
202,Flour
203,August
204,Next
205,Meet
206,Sow
207,Library
208,Kilogram
209,Poison
210,Sitar
211,Warn
212,Zoom Meeting
213,University
214,Silk
215,Myself
216,Greedy
217,Work [VEB]
218,Worry
219,Verb
220,Director
221,Map
222,Point
223,Geometry
224,Knees
225,Gas Stove
226,Swallow
227,Plumber
228,Defend
229,Offer
230,Socks
231,Service
232,Innocent
233,T-Shirt
234,Washing Brush
235,Hot (To Feel/Weather)
236,Shorts
237,Draw
238,Seashore
239,O
240,Behavior
241,Punjab
242,Shave
243,Pakistan
244,Chilli
245,Support [VEB]
246,Free
247,Separate
248,Waterway
249,Crossroads
250,High
251,Past Tense
252,Bangladesh
253,Stretcher
254,Education
255,Chalk
256,Stupid
257,Prime Minister/P.M.
258,Same
259,Strike
260,Celebrate
261,Timid
262,Bone
263,V
264,Daughter
265,Iraq
266,Cupboard
267,Her/She
268,Garden
269,Pumpkin
270,Bi-Lingual
271,Leg
272,Solve
273,Website
274,Store
275,Newspaper
276,Nagpur
277,Grandmother
278,Humorous
279,No
280,Near
